schoolName,Physical address,Postal address,Email,Phone Number,Principal,Website
Katherine School Of The Air,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au,(08) 896 51555,,
Katherine High School,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au,(08) 897 38200,,
Katherine Flexible Learning Centre,"5 Kintore St, Katherine, 0850, NT","PO Box 189, Katherine, 0851, NT",tba,(08) 897 38200,,
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au,(08) 898 37700,,
Kalkaringi School,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",anne.saunders@education.nt.gov.au,(08) 896 51888,,
Kalkaringi Pre School,"Whitlam St, Kalkaringi (Wave hill), NT",", , , ",,(08) 8965 1888,,
Karama Pre School,"37 Livistona Rd, Karama, NT",", , , ",,(08) 898 37711,,
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au,(08) 898 37555,,
Jingili Pre School,"10 Jingili Tce, Jingili, NT",", , , ",,(08) 8985 3495,,
Jabiru Pre School,"40 Waterhouse Rd, Jabiru, NT",", , , ",,(08) 8938 3333,,
Ida Standley Pre School,"15 Parke Cres, Alice Springs, NT",", , , ",,(08) 8952 1040,,
Humpty Doo Primary School,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT",admin.humptydoo@education.nt.gov.au,(08) 792 30400,,
Jabiru Area School,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au,(08) 8938 3333,,
Ltyentye Apurte Catholic School,"35 Church Street, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",la.admin@nt.catholic.edu.au,(08) 8956 0937,,
Humpty Doo Pre School,"50 Freds Pass Rd, Humpty Doo, NT",", , , ",,(08) 792 30400,,
Howard Springs Primary School,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au,(08) 898 30000,,
Howard Springs Pre School,"295 Whitewood Rd, Howard Springs, NT",", , , ",,(08) 8983 0000,,
Holy Spirit Catholic Primary School,"278 Gsell Street, Wulagi, NT","PO Box 40030, Casuarina, 0810, NT",admin.holyspirit@nt.catholic.edu.au,(08) 8927 3411,,
Henbury School,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT",henbury.admin@education.nt.gov.au,(08) 899 77077,,
Holy Family Catholic Primary School,"20 Calytrix Road, Karama, NT","PO Box 40870, Casuarina, 0812, NT",admin.holyfamily@nt.catholic.edu.au,(08) 89276188,,
Harts Range School,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT",kylie.mckay@education.nt.gov.au,(08) 8956 9771,,
Haileybury Rendall School,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT",andrew.mcgregor@haileybury.com.au,(08) 8922 1611,,
Haasts Bluff School,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT",geoff.gillman@education.nt.gov.au,(08) 8956 8550,,
Gunbalanya School,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT",admin.gunbacec@education.nt.gov.au,(08) 8979 0181,,
Gunbalanya Pre School,"N/a, Gunbalanya, NT",", , , ",,(08) 8979 0181,,
Gray Pre School,"22 Victoria Dr, Gray, NT",", , , ",,(08) 8932 1700,,
Gray Primary School,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT",admin.graysch@education.nt.gov.au,(08) 8932 1700,,
Good Shepherd Lutheran College - Palmerston Campus,"Cnr Emery Ave and Temple Tce, Palmerston, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0333,,
Good Shepherd Lutheran College,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,08 8983 0333,,
Good Shepherd - Leanyer Campus,"94 Leanyer Drive, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0333,,
Girraween Primary School,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT",admin.girrasch@education.nt.gov.au,(08) 8983 3300,,
Girraween Pre School,"25 Carruth Rd, Girraween, NT",", , , ",,(08) 8983 3300,,
Gillen Primary School,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT",gillen.school@education.nt.gov.au,(08) 895 52155,,
Gillen Pre School,"12 Newland St, Alice Springs, NT",", , , ",,(08) 8952 2355,,
Gawa Christian School,"Gawa, Elcho Island, Gawa, NT","PMB 257, Elcho Island via Winnellie, 0822, NT",admin.gcs@ntschools.net,8970 5210,,
Gapuwiyak School,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT",christopher.oneill@education.nt.gov.au,(08) 8987 9122,,
Gapuwiyak Pre School,"N/A, Gapuwiyak, NT",", , , ",,(08) 8987 9122,,
Forrest Parade School,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT",admin.forrestps@education.nt.gov.au,(08) 899 77111,,
Finke School,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT",finke.school@education.nt.gov.au,(08) 8956 0960,,
Epenarra School,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au,(08) 8964 1512,,
Elliott School,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au,(08) 8969 2122,,
Families as First Teachers,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT",faft.doe@education.nt.gov.au,(08) 899 93550,,
Jilkminggan School,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au,(08) 8975 4896,,
Durack Primary School,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au,(08) 899 77555,,
Durack Pre School,"50 Woodlake Blvd, Durack, NT",", , , ",,(08) 899 77555,,
Dundee Beach School,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au,(08) 8978 2212,,
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au,(08) 898 37777,,
Driver Primary School,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au,(08) 893 59000,,
Douglas Daly School,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",wesley.vague@education.nt.gov.au,(08) 8978 2836,,
Driver Pre School,"37 Driver Ave, Driver, NT",", , , ",,(08) 893 59055,,
Dhupuma Barker,"Gunyangara East Arnhem Land, , NT","PO Box 394, Nhulunbuy, 0881, NT",pheath@barker.nsw.edu.au,(08) 8438 7201,,
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au,(08) 894 25200,,
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT",dlc.nt@education.nt.gov.au,(08) 899 77000,,
Darwin High School,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT",darwin.high@education.nt.gov.au,(08) 899 91222,,
Clyde Fenton Primary School,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT",admin.clydesch@education.nt.gov.au,(08) 897 33844,,
Centralian Middle School,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT",centralian.middle@education.nt.gov.au,(08) 895 52333,,
Casuarina Street Primary School,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT",casuarina.admin@education.nt.gov.au,(08) 897 33800,,
Clyde Fenton Pre School,"101 Giles St, Katherine, NT",", , , ",,(08) 897 33855,,
Centralian Senior College,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",admin.centraliansc@education.nt.gov.au,(08) 895 85000,,
Casuarina Street Pre School,"Casuarina St, Katherine East, NT",", , , ",,(08) 897 33800,,
Casuarina Senior College,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT",csc.admin@education.nt.gov.au,(08) 898 37300,,
Canteen Creek School,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT",admin.cantesch@education.nt.gov.au,(08) 8964 1505,,
Bulla Camp School,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT",debbie.bailey1@education.nt.gov.au,(08) 9167 8957,,
Bulman School,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT",adam.cox@education.nt.gov.au,(08) 8975 4707,,
Berry Springs Pre School,"1150 Cox Peninsula Rd, Berry Springs, NT",", , , ",,(08) 7923 0366,,
Braitling Primary School,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT",admin.braitsch@education.nt.gov.au,(08) 895 85111,,
Berry Springs Primary School,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT",berrysprings.primary@education.nt.gov.au,(08) 7923 0366,,
Callistemon House,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT",admin.callistemon@education.nt.gov.au,(08) 8972 3212,,
Belyuen School,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",natasha.koroi@education.nt.gov.au,(08) 8978 5085,,
Bees Creek Primary School,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT",bees.creek@education.nt.gov.au,(08) 8983 3222,,
Batchelor Pre School,"71 Kirra Cres, Batchelor, NT",", , , ",,(08) 8976 0077,,
Bees Creek Pre School,"20 Sattler Cres, Freds Pass, NT",", , , ",,(08) 8983 3222,,
Bakewell Pre School,"5 Hutchison Tce, Bakewell, 0832, NT","tba, tba, 0832, ",,(08) 899 77400,,
Batchelor Area School,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au,(08) 8976 0077,,
Bakewell Primary School,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",admin.bakewell@education.nt.gov.au,(08) 899 77400,,
Baniyala Garrangali School,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",cassie.allison1@education.nt.gov.au,(08) 8987 9114,,
Barunga School,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au,(08) 8975 4502,,
Australian International Islamic College,"25 Bowerlee Road, Berrimah NT 0828, NT","25 Bowerlee Road, Berrimah, 0828, NT",nt.admin@aiic.nt.edu.au,(08) 7918 2786,,
Areyonga School,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",anton.devaratnam@education.nt.gov.au,(08) 8956 7303,,
Arlparra School,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT",stephen.nimmo@education.nt.gov.au,(08) 8956 9178,,
Araluen Christian College,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT",admin.acc@ntschools.net,(08) 8955 3300,,
Anula Primary School,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",anula.admin@education.nt.gov.au,(08) 899 77500,,
Anula Pre School,"73 Yanyula Dr, Anula, NT",", , , ",,(08) 899 77500,,
Angurugu School,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@education.nt.gov.au,(08) 8987 6355,,
Angurugu Pre School,"N/A, Angurugu, NT",", , , ",,(08) 89876255,,
Ampilatwatja School,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",admin.ampilat@education.nt.gov.au,(08) 8956 9265,,
Amoonguna School,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@education.nt.gov.au,(08) 8952 3402,,
Alyangula Pre School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT",", , , ",,(08) 8987 6366,,
Amanbidji School,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",carolyn.tucker@education.nt.gov.au,(08) 9168 7380,,
Alyangula Area School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT",alyangula.admin@education.nt.gov.au,(08) 8987 6366,,
Alyarrmandumanja Umbakumba School,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@education.nt.gov.au,(08) 8987 6793,,

